DataStructure,Operation,Iteration,Block,Time
Array,Dequeue,1,1,0.000841207
Array,Dequeue,2,1,0.000858305
Array,Dequeue,3,1,0.000826337
Array,Dequeue,4,1,0.000840167
Array,Dequeue,5,1,0.000815119
Array,Dequeue,6,1,0.000849285
Array,Dequeue,7,1,0.00083369
Array,Dequeue,8,1,0.000814311
Array,Dequeue,9,1,0.000860407
Array,Dequeue,10,1,0.000852532
Array,Dequeue,1,2,0.002411783
Array,Dequeue,2,2,0.002444619
Array,Dequeue,3,2,0.002487338
Array,Dequeue,4,2,0.002427823
Array,Dequeue,5,2,0.002453241
Array,Dequeue,6,2,0.002467752
Array,Dequeue,7,2,0.002540642
Array,Dequeue,8,2,0.002315994
Array,Dequeue,9,2,0.002446755
Array,Dequeue,10,2,0.002494401
Array,Dequeue,1,3,0.003669956
Array,Dequeue,2,3,0.003677854
Array,Dequeue,3,3,0.003795306
Array,Dequeue,4,3,0.003704119
Array,Dequeue,5,3,0.003678917
Array,Dequeue,6,3,0.003791712
Array,Dequeue,7,3,0.003808737
Array,Dequeue,8,3,0.00373243
Array,Dequeue,9,3,0.003776954
Array,Dequeue,10,3,0.003760794
Array,Dequeue,1,4,0.005085265
Array,Dequeue,2,4,0.005084097
Array,Dequeue,3,4,0.005185151
Array,Dequeue,4,4,0.005107203
Array,Dequeue,5,4,0.005096171
Array,Dequeue,6,4,0.0051443
Array,Dequeue,7,4,0.005194578
Array,Dequeue,8,4,0.004941272
Array,Dequeue,9,4,0.005082664
Array,Dequeue,10,4,0.005181997
Array,Dequeue,1,5,0.006580341
Array,Dequeue,2,5,0.006513192
Array,Dequeue,3,5,0.00671483
Array,Dequeue,4,5,0.006647755
Array,Dequeue,5,5,0.006608445
Array,Dequeue,6,5,0.00665978
Array,Dequeue,7,5,0.006791142
Array,Dequeue,8,5,0.006277387
Array,Dequeue,9,5,0.006573905
Array,Dequeue,10,5,0.006679849
Array,Dequeue,1,6,0.008095946
Array,Dequeue,2,6,0.008133577
Array,Dequeue,3,6,0.008247141
Array,Dequeue,4,6,0.00821207
Array,Dequeue,5,6,0.009607328
Array,Dequeue,6,6,0.008252154
Array,Dequeue,7,6,0.00827789
Array,Dequeue,8,6,0.007739589
Array,Dequeue,9,6,0.007891542
Array,Dequeue,10,6,0.008192348
Array,Dequeue,1,7,0.009695169
Array,Dequeue,2,7,0.011411424
Array,Dequeue,3,7,0.00999803
Array,Dequeue,4,7,0.009811235
Array,Dequeue,5,7,0.009858265
Array,Dequeue,6,7,0.009897024
Array,Dequeue,7,7,0.010000859
Array,Dequeue,8,7,0.009257465
Array,Dequeue,9,7,0.009152587
Array,Dequeue,10,7,0.009836122
Array,Dequeue,1,8,0.011393086
Array,Dequeue,2,8,0.011511005
Array,Dequeue,3,8,0.011703376
Array,Dequeue,4,8,0.010714111
Array,Dequeue,5,8,0.011525823
Array,Dequeue,6,8,0.011488678
Array,Dequeue,7,8,0.011688492
Array,Dequeue,8,8,0.010812021
Array,Dequeue,9,8,0.010655785
Array,Dequeue,10,8,0.011598941
Array,Dequeue,1,9,0.012849307
Array,Dequeue,2,9,0.013627425
Array,Dequeue,3,9,0.013675437
Array,Dequeue,4,9,0.012424262
Array,Dequeue,5,9,0.013600237
Array,Dequeue,6,9,0.013758288
Array,Dequeue,7,9,0.013470027
Array,Dequeue,8,9,0.012913241
Array,Dequeue,9,9,0.01249048
Array,Dequeue,10,9,0.015365895
Array,Dequeue,1,10,0.014555622
Array,Dequeue,2,10,0.014606635
Array,Dequeue,3,10,0.014766451
Array,Dequeue,4,10,0.014767912
Array,Dequeue,5,10,0.014683265
Array,Dequeue,6,10,0.014633054
Array,Dequeue,7,10,0.014575677
Array,Dequeue,8,10,0.013932241
Array,Dequeue,9,10,0.014495113
Array,Dequeue,10,10,0.01468395
Array,Dequeue,1,11,0.016024665
Array,Dequeue,2,11,0.016004803
Array,Dequeue,3,11,0.016229238
Array,Dequeue,4,11,0.016243303
Array,Dequeue,5,11,0.016179652
Array,Dequeue,6,11,0.017513425
Array,Dequeue,7,11,0.016071001
Array,Dequeue,8,11,0.01520458
Array,Dequeue,9,11,0.017773113
Array,Dequeue,10,11,0.016141899
Array,Dequeue,1,12,0.017563348
Array,Dequeue,2,12,0.017574177
Array,Dequeue,3,12,0.017719717
Array,Dequeue,4,12,0.019339579
Array,Dequeue,5,12,0.017774735
Array,Dequeue,6,12,0.017730113
Array,Dequeue,7,12,0.017617525
Array,Dequeue,8,12,0.018459776
