DataStructure,SampleSize,EnqueueTime,PtTime,DequeueTime
OrderedArrayRQ,100,0.007785245,0.005248797,0.002684944
OrderedArrayRQ,100,0.003415327,0.005208713,0.002059932
OrderedArrayRQ,100,0.003266806,0.005086868,0.002315447
OrderedArrayRQ,100,0.003514107,0.005168284,0.002116269
OrderedArrayRQ,100,0.003566653,0.005350073,0.002443134
OrderedArrayRQ,100,0.003499277,0.004936829,0.002068849
OrderedArrayRQ,100,0.003407288,0.005115643,0.002618681
OrderedArrayRQ,100,0.003258778,0.005153687,0.002292896
OrderedArrayRQ,100,0.003531193,0.005727443,0.002882015
OrderedArrayRQ,100,0.003389356,0.005539737,0.002583806
OrderedArrayRQ,200,0.005206154,0.009686213,0.002635355
OrderedArrayRQ,200,0.00529991,0.009702182,0.002991968
OrderedArrayRQ,200,0.005178611,0.009854116,0.003083396
OrderedArrayRQ,200,0.005486406,0.009944397,0.003432226
OrderedArrayRQ,200,0.005206277,0.010037156,0.002790825
OrderedArrayRQ,200,0.005517106,0.009919916,0.002820433
OrderedArrayRQ,200,0.006003293,0.011651466,0.003666993
OrderedArrayRQ,200,0.005466433,0.009211209,0.002592435
OrderedArrayRQ,200,0.005106414,0.010376583,0.002642591
OrderedArrayRQ,200,0.005682964,0.009433007,0.002569323
OrderedArrayRQ,500,0.010075427,0.017942291,0.004618337
OrderedArrayRQ,500,0.01018366,0.01843112,0.004993455
OrderedArrayRQ,500,0.0105461,0.018625988,0.004778261
OrderedArrayRQ,500,0.010089221,0.018453716,0.004656409
OrderedArrayRQ,500,0.010345722,0.01834427,0.004663051
OrderedArrayRQ,500,0.010757251,0.018201642,0.004766688
OrderedArrayRQ,500,0.010487522,0.018154471,0.004799275
OrderedArrayRQ,500,0.009543392,0.017526958,0.004704575
OrderedArrayRQ,500,0.009745456,0.018256822,0.00470797
OrderedArrayRQ,500,0.010652605,0.018311649,0.004582034
OrderedArrayRQ,1000,0.014568313,0.036961832,0.011052135
OrderedArrayRQ,1000,0.017199248,0.037216136,0.011112482
OrderedArrayRQ,1000,0.015404018,0.036388711,0.010845496
OrderedArrayRQ,1000,0.015015441,0.036313498,0.011124194
OrderedArrayRQ,1000,0.017035713,0.038714471,0.011653216
OrderedArrayRQ,1000,0.01573984,0.036294442,0.010660356
OrderedArrayRQ,1000,0.014761792,0.036935045,0.010846865
OrderedArrayRQ,1000,0.015039344,0.036472374,0.011061379
OrderedArrayRQ,1000,0.016278522,0.038516271,0.011494533
OrderedArrayRQ,1000,0.015117381,0.036970499,0.011432829
OrderedArrayRQ,2000,0.032586252,0.077249112,0.019519014
OrderedArrayRQ,2000,0.035181989,0.076023265,0.019269282
OrderedArrayRQ,2000,0.028000541,0.078175842,0.019592704
OrderedArrayRQ,2000,0.03608589,0.078000692,0.01976642
OrderedArrayRQ,2000,0.030622615,0.076908356,0.020126332
OrderedArrayRQ,2000,0.030621568,0.077830996,0.019445022
OrderedArrayRQ,2000,0.028094024,0.075798704,0.019164297
OrderedArrayRQ,2000,0.034729407,0.077735175,0.019668783
OrderedArrayRQ,2000,0.028457851,0.077565027,0.019328875
OrderedArrayRQ,2000,0.036825691,0.079205444,0.01928384
OrderedArrayRQ,5000,0.063062113,0.305829111,0.043327097
OrderedArrayRQ,5000,0.057412047,0.314531275,0.043047038
OrderedArrayRQ,5000,0.056897417,0.31837424,0.044819666
OrderedArrayRQ,5000,0.065247268,0.322017059,0.04360473
OrderedArrayRQ,5000,0.060355278,0.309974186,0.043398688
OrderedArrayRQ,5000,0.064349224,0.310943471,0.043908801
OrderedArrayRQ,5000,0.058756659,0.309545506,0.044095093
OrderedArrayRQ,5000,0.064484865,0.314672894,0.044088594
OrderedArrayRQ,5000,0.066574993,0.316788649,0.052292335
OrderedArrayRQ,5000,0.063704851,0.309723172,0.042902707
OrderedArrayRQ,7500,0.10302512,0.878765873,0.077991959
OrderedArrayRQ,7500,0.105136774,0.879114675,0.078197722
OrderedArrayRQ,7500,0.099394066,0.893772454,0.079036939
OrderedArrayRQ,7500,0.102829492,0.915706401,0.078321744
OrderedArrayRQ,7500,0.106093239,0.880046385,0.079077401
OrderedArrayRQ,7500,0.104149775,0.888805463,0.078844861
OrderedArrayRQ,7500,0.096351236,0.877288499,0.077613689
OrderedArrayRQ,7500,0.098353368,0.913723579,0.078268491
OrderedArrayRQ,7500,0.102758619,0.878021019,0.077844106
OrderedArrayRQ,7500,0.104320325,0.89568887,0.078775199
OrderedArrayRQ,9000,0.129913087,1.327733476,0.105731283
OrderedArrayRQ,9000,0.138837161,1.252840483,0.105911513
OrderedArrayRQ,9000,0.132929766,1.280701253,0.103325041
OrderedArrayRQ,9000,0.129961862,1.30197262,0.105471172
OrderedArrayRQ,9000,0.132735283,1.315867312,0.106034801
OrderedArrayRQ,9000,0.130020366,1.269564524,0.105882711
OrderedArrayRQ,9000,0.129950127,1.284750722,0.107338658
OrderedArrayRQ,9000,0.132294145,1.268869668,0.106304571
OrderedArrayRQ,9000,0.130607648,1.249174857,0.106171459
OrderedArrayRQ,9000,0.13581215,1.288192348,0.10514343
OrderedArrayRQ,10000,0.149998964,1.573908651,0.124630101
OrderedArrayRQ,10000,0.152059903,1.540816947,0.12472894
OrderedArrayRQ,10000,0.150174716,1.56978757,0.124486205
OrderedArrayRQ,10000,0.149331593,1.603683452,0.125744139
OrderedArrayRQ,10000,0.149218385,1.573274243,0.127133302
OrderedArrayRQ,10000,0.150280238,1.54701527,0.134463896
OrderedArrayRQ,10000,0.144483784,1.57712755,0.126800261
OrderedArrayRQ,10000,0.153287167,1.554621923,0.123914619
OrderedArrayRQ,10000,0.14885397,1.611157508,0.128201846
OrderedArrayRQ,10000,0.154534414,1.564891193,0.126905936
OrderedArrayRQ,15000,0.257549306,3.092077143,0.23232055
OrderedArrayRQ,15000,0.251311636,3.087952934,0.222380742
OrderedArrayRQ,15000,0.258559875,3.13074357,0.249786622
OrderedArrayRQ,15000,0.252715521,3.081228576,0.229505756
OrderedArrayRQ,15000,0.24803875,3.047935063,0.23705015
OrderedArrayRQ,15000,0.262035556,3.090120712,0.235069808
OrderedArrayRQ,15000,0.259526343,3.087177427,0.229724701
OrderedArrayRQ,15000,0.250889814,3.042658961,0.235911209
OrderedArrayRQ,15000,0.254570207,3.090784034,0.269296717
OrderedArrayRQ,15000,0.255316481,3.062796027,0.233291462
OrderedArrayRQ,20000,0.47240138,3.266596666,0.382402485
OrderedArrayRQ,20000,0.48145536,3.319528056,0.385676365
OrderedArrayRQ,20000,0.469025944,3.35230881,0.451566708
OrderedArrayRQ,20000,0.471883286,3.303442668,0.376907896
OrderedArrayRQ,20000,0.500857608,3.297863581,0.387044469
OrderedArrayRQ,20000,0.467972657,3.298556647,0.38040898
OrderedArrayRQ,20000,0.464142915,3.334670607,0.38584044
OrderedArrayRQ,20000,0.461810515,3.35642124,0.380484888
OrderedArrayRQ,20000,0.467264811,3.274703243,0.379040745
OrderedArrayRQ,20000,0.467330918,3.292334807,0.386281496
OrderedArrayRQ,30000,0.963570114,5.698366301,0.799119862
OrderedArrayRQ,30000,0.948631633,5.742981229,0.801371618
OrderedArrayRQ,30000,0.970217458,5.84142602,0.812228692
OrderedArrayRQ,30000,0.95630632,5.813862981,0.821280462
OrderedArrayRQ,30000,0.964918062,5.841859324,0.803559193
OrderedArrayRQ,30000,0.961200018,5.859243335,0.80224521
OrderedArrayRQ,30000,0.962346049,5.720373943,0.933429172
OrderedArrayRQ,30000,0.96713062,5.730784778,0.800208843
OrderedArrayRQ,30000,1.029829658,5.88943896,0.804033495
OrderedArrayRQ,30000,0.966541619,5.724005944,0.816240009
OrderedArrayRQ,50000,2.49783774,18.614080077,2.143312383
OrderedArrayRQ,50000,2.513233792,18.661380255,2.136481239
OrderedArrayRQ,50000,2.509134165,18.156836122,2.128875189
OrderedArrayRQ,50000,2.478583349,18.063605677,2.104057599
OrderedArrayRQ,50000,2.51836303,19.408521822,2.173178128
OrderedArrayRQ,50000,2.505531756,18.452810504,2.105872193
OrderedArrayRQ,50000,2.49733441,18.170799805,2.165077182
OrderedArrayRQ,50000,2.547974965,18.986430806,2.143924687
OrderedArrayRQ,50000,2.530522375,19.650973942,2.163246398
OrderedArrayRQ,50000,2.534483327,19.17407144,2.504355589
OrderedLinkedListRQ,100,0.00719934,0.004633662,0.002136535
OrderedLinkedListRQ,100,0.002701274,0.004781821,0.002076438
OrderedLinkedListRQ,100,0.002712227,0.004670164,0.002066632
OrderedLinkedListRQ,100,0.002469625,0.004078992,0.002046321
OrderedLinkedListRQ,100,0.002772116,0.00460038,0.002177525
OrderedLinkedListRQ,100,0.002914115,0.004975817,0.002132782
OrderedLinkedListRQ,100,0.002879391,0.004498453,0.001856247
OrderedLinkedListRQ,100,0.003290371,0.004875083,0.002986154
OrderedLinkedListRQ,100,0.002738602,0.004775148,0.002050767
OrderedLinkedListRQ,100,0.002642484,0.004506538,0.002374126
OrderedLinkedListRQ,200,0.004529747,0.008759884,0.002517827
OrderedLinkedListRQ,200,0.004513306,0.008999208,0.002341011
OrderedLinkedListRQ,200,0.004852544,0.008778688,0.002282747
